C-1,C-2,C-3,C-4,C-5,C-6,C-7,C-8,C-9,C-10,C-11,C-12,C-13,C-14,C-15,C-16,C-17,C-18,C-19,C-20,C-21,C-22,C-23,C-24,C-25,C-26,C-27,C-28,C-29,C-30,C-31,C-32,C-33,C-34,C-35,C-36,C-37,C-38,C-39,C-40,C-41,C-42,C-43,C-44,C-45,C-46,C-47,C-48,C-49,C-50,C-51,C-52,C-53,C-54,C-55,C-56,C-57,C-58,C-59,C-60,C-61,C-62,C-63,C-64,C-65,C-66,Label
2.90E-02,1.90E-02,2.40E-02,1.40E-02,2.10E-02,1.20E-02,1.40E-02,1.20E-02,3.50E-02,1.20E-02,1.40E-02,1.30E-02,1.00E-02,1.20E-02,1.80E-02,1.40E-02,2.30E-02,9.00E-03,2.70E-02,9.00E-03,1.10E-02,8.00E-03,1.00E-02,9.00E-03,1.20E-02,1.20E-02,6.00E-03,9.00E-03,1.60E-02,3.00E-03,1.10E-02,1.00E-02,2.40E-02,1.20E-02,1.70E-02,1.90E-02,2.10E-02,1.30E-02,5.00E-03,9.00E-03,1.40E-02,1.20E-02,1.40E-02,8.00E-03,1.00E-02,1.10E-02,1.10E-02,1.20E-02,1.10E-02,1.80E-02,6.00E-03,1.10E-02,1.50E-02,4.00E-03,1.00E-02,1.10E-02,1.20E-02,1.20E-02,1.30E-02,1.40E-02,1.10E-02,1.40E-02,1.10E-02,9.00E-03,6.71E-02,8.46E-02,HOT
2.20E-02,2.40E-02,2.70E-02,1.10E-02,2.40E-02,8.00E-03,8.00E-03,8.00E-03,1.90E-02,1.40E-02,2.40E-02,1.90E-02,1.90E-02,1.60E-02,1.10E-02,8.00E-03,1.60E-02,8.00E-03,2.40E-02,1.10E-02,1.40E-02,5.00E-03,0.00E+00,3.00E-03,1.40E-02,1.10E-02,1.10E-02,1.40E-02,0.00E+00,8.00E-03,5.00E-03,1.60E-02,2.40E-02,1.40E-02,2.20E-02,8.00E-03,1.40E-02,3.00E-03,2.20E-02,8.00E-03,2.40E-02,1.60E-02,8.00E-03,1.60E-02,1.10E-02,1.60E-02,1.40E-02,1.90E-02,2.40E-02,3.00E-03,3.00E-03,2.20E-02,8.00E-03,5.00E-03,1.90E-02,1.10E-02,1.10E-02,5.00E-03,2.20E-02,1.10E-02,2.20E-02,3.00E-03,1.90E-02,8.00E-03,6.38E-02,7.76E-02,HOT
7.00E-03,2.40E-02,3.50E-02,7.00E-03,1.70E-02,1.20E-02,1.40E-02,1.70E-02,2.10E-02,1.70E-02,1.20E-02,1.20E-02,9.00E-03,1.70E-02,2.40E-02,9.00E-03,3.10E-02,9.00E-03,1.70E-02,2.10E-02,1.70E-02,2.00E-03,1.20E-02,5.00E-03,5.00E-03,2.00E-03,1.70E-02,5.00E-03,1.40E-02,1.20E-02,1.90E-02,2.00E-03,2.60E-02,1.70E-02,9.00E-03,1.90E-02,2.10E-02,5.00E-03,2.00E-03,1.70E-02,2.10E-02,1.70E-02,9.00E-03,1.20E-02,5.00E-03,9.00E-03,1.70E-02,9.00E-03,9.00E-03,9.00E-03,0.00E+00,9.00E-03,2.40E-02,1.70E-02,0.00E+00,9.00E-03,2.60E-02,9.00E-03,2.10E-02,1.20E-02,0.00E+00,1.20E-02,9.00E-03,1.40E-02,7.52E-02,8.73E-02,HOT
1.20E-02,2.00E-03,1.40E-02,3.10E-02,1.00E-02,1.00E-02,1.00E-02,2.00E-03,1.20E-02,1.00E-02,1.40E-02,1.70E-02,1.70E-02,1.20E-02,1.90E-02,3.10E-02,1.20E-02,1.40E-02,1.70E-02,1.70E-02,1.90E-02,1.00E-02,7.00E-03,1.20E-02,5.00E-03,7.00E-03,7.00E-03,1.00E-02,1.20E-02,1.40E-02,5.00E-03,1.90E-02,1.70E-02,7.00E-03,2.00E-03,1.70E-02,1.40E-02,0.00E+00,2.00E-03,1.90E-02,1.40E-02,1.40E-02,1.00E-02,2.00E-03,1.40E-02,1.20E-02,2.00E-03,1.20E-02,1.90E-02,7.00E-03,1.90E-02,1.20E-02,1.70E-02,2.90E-02,1.00E-02,1.70E-02,1.40E-02,5.00E-03,1.00E-02,1.20E-02,1.40E-02,3.30E-02,1.40E-02,2.60E-02,7.51E-02,9.74E-02,HOT
2.10E-02,1.50E-02,2.40E-02,1.70E-02,9.00E-03,1.10E-02,9.00E-03,1.40E-02,2.30E-02,1.00E-02,1.90E-02,1.00E-02,2.30E-02,1.30E-02,1.90E-02,2.00E-02,1.30E-02,3.00E-03,1.10E-02,2.20E-02,1.20E-02,9.00E-03,6.00E-03,8.00E-03,1.10E-02,5.00E-03,4.00E-03,8.00E-03,6.00E-03,9.00E-03,1.10E-02,1.00E-02,2.70E-02,1.10E-02,1.40E-02,1.90E-02,1.20E-02,5.00E-03,5.00E-03,5.00E-03,1.60E-02,7.00E-03,1.20E-02,1.40E-02,1.10E-02,8.00E-03,8.00E-03,1.80E-02,1.60E-02,1.50E-02,1.40E-02,1.60E-02,1.60E-02,9.00E-03,8.00E-03,9.00E-03,2.10E-02,5.00E-03,1.40E-02,1.20E-02,2.10E-02,1.20E-02,1.50E-02,2.30E-02,7.84E-02,9.67E-02,HOT
4.10E-02,2.70E-02,1.40E-02,1.60E-02,1.80E-02,1.70E-02,1.20E-02,1.20E-02,2.10E-02,7.00E-03,1.60E-02,5.00E-03,1.20E-02,1.50E-02,1.80E-02,1.60E-02,2.60E-02,1.10E-02,1.50E-02,1.00E-02,2.00E-02,9.00E-03,7.00E-03,7.00E-03,1.40E-02,4.00E-03,7.00E-03,7.00E-03,7.00E-03,1.00E-02,1.50E-02,1.00E-02,2.00E-02,1.10E-02,1.10E-02,2.50E-02,1.40E-02,7.00E-03,6.00E-03,7.00E-03,1.20E-02,1.20E-02,1.00E-02,1.70E-02,6.00E-03,6.00E-03,1.20E-02,1.00E-02,1.10E-02,1.10E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,6.00E-03,1.50E-02,2.10E-02,1.10E-02,1.80E-02,5.00E-03,1.60E-02,1.00E-02,1.00E-02,2.10E-02,7.57E-02,9.65E-02,HOT
2.00E-02,1.70E-02,3.80E-02,2.10E-02,2.00E-02,1.50E-02,1.00E-02,1.20E-02,3.10E-02,1.10E-02,1.70E-02,9.00E-03,4.00E-03,1.60E-02,1.20E-02,2.00E-02,2.60E-02,1.10E-02,1.30E-02,8.00E-03,1.70E-02,4.00E-03,5.00E-03,9.00E-03,1.30E-02,6.00E-03,2.00E-03,3.00E-03,1.30E-02,1.30E-02,1.50E-02,1.50E-02,3.90E-02,1.80E-02,1.10E-02,1.30E-02,6.00E-03,7.00E-03,2.00E-03,1.60E-02,1.20E-02,6.00E-03,6.00E-03,1.60E-02,3.00E-03,1.20E-02,9.00E-03,1.10E-02,1.10E-02,1.10E-02,7.00E-03,9.00E-03,1.60E-02,9.00E-03,7.00E-03,1.80E-02,2.50E-02,1.00E-02,1.50E-02,7.00E-03,1.60E-02,8.00E-03,2.10E-02,1.30E-02,7.41E-02,8.96E-02,HOT
2.60E-02,1.60E-02,1.80E-02,1.60E-02,1.30E-02,1.30E-02,1.30E-02,1.80E-02,2.10E-02,7.00E-03,1.10E-02,7.00E-03,7.00E-03,1.60E-02,1.60E-02,1.20E-02,2.20E-02,1.40E-02,1.20E-02,1.30E-02,1.90E-02,1.40E-02,1.20E-02,1.20E-02,1.00E-02,8.00E-03,1.10E-02,1.00E-02,1.40E-02,9.00E-03,1.30E-02,1.70E-02,1.90E-02,1.50E-02,1.10E-02,1.20E-02,1.10E-02,1.60E-02,5.00E-03,1.20E-02,1.40E-02,1.40E-02,1.20E-02,1.50E-02,7.00E-03,1.30E-02,1.50E-02,1.00E-02,1.00E-02,1.30E-02,4.00E-03,1.00E-02,1.70E-02,1.30E-02,9.00E-03,1.20E-02,1.30E-02,1.60E-02,2.10E-02,1.20E-02,8.00E-03,1.30E-02,1.70E-02,1.50E-02,6.90E-02,8.60E-02,HOT
1.70E-02,1.00E-02,2.00E-03,1.00E-02,1.00E-02,7.00E-03,5.00E-03,1.20E-02,1.70E-02,1.00E-02,1.20E-02,2.00E-03,1.20E-02,1.20E-02,1.00E-02,2.20E-02,1.00E-02,5.00E-03,1.20E-02,2.60E-02,1.90E-02,2.40E-02,5.00E-03,2.20E-02,7.00E-03,5.00E-03,1.00E-02,5.00E-03,5.00E-03,1.70E-02,1.70E-02,2.90E-02,7.00E-03,7.00E-03,2.20E-02,7.00E-03,7.00E-03,2.40E-02,5.00E-03,1.00E-02,1.20E-02,1.40E-02,5.00E-03,1.20E-02,5.00E-03,5.00E-03,5.00E-03,1.90E-02,5.00E-03,1.20E-02,7.00E-03,1.00E-02,1.70E-02,1.40E-02,1.20E-02,2.40E-02,7.00E-03,1.70E-02,1.70E-02,1.40E-02,1.20E-02,3.40E-02,2.40E-02,5.50E-02,7.37E-02,9.56E-02,HOT
3.20E-02,1.40E-02,9.00E-03,1.40E-02,1.10E-02,7.00E-03,7.00E-03,1.40E-02,1.60E-02,9.00E-03,5.00E-03,1.80E-02,1.10E-02,9.00E-03,1.80E-02,1.60E-02,1.10E-02,7.00E-03,1.40E-02,9.00E-03,5.00E-03,5.00E-03,5.00E-03,1.80E-02,7.00E-03,2.00E-03,2.00E-03,9.00E-03,1.80E-02,1.10E-02,9.00E-03,3.00E-02,9.00E-03,1.10E-02,9.00E-03,1.10E-02,9.00E-03,9.00E-03,2.00E-03,1.40E-02,1.10E-02,1.10E-02,0.00E+00,2.00E-03,1.10E-02,7.00E-03,9.00E-03,2.50E-02,1.60E-02,7.00E-03,1.80E-02,1.80E-02,1.60E-02,1.10E-02,7.00E-03,2.30E-02,7.00E-03,1.10E-02,1.80E-02,2.30E-02,1.80E-02,3.00E-02,2.30E-02,6.60E-02,6.77E-02,9.89E-02,HOT
2.30E-02,2.10E-02,1.80E-02,1.60E-02,1.40E-02,1.50E-02,1.50E-02,1.50E-02,1.30E-02,1.00E-02,9.00E-03,1.20E-02,4.00E-03,1.00E-02,2.30E-02,1.20E-02,2.70E-02,9.00E-03,1.00E-02,1.40E-02,2.00E-02,9.00E-03,1.00E-02,9.00E-03,7.00E-03,1.00E-02,1.30E-02,1.30E-02,1.50E-02,5.00E-03,1.30E-02,1.30E-02,1.70E-02,1.30E-02,9.00E-03,1.10E-02,1.00E-02,1.40E-02,1.00E-02,1.30E-02,1.50E-02,1.30E-02,1.30E-02,1.70E-02,1.30E-02,1.30E-02,1.70E-02,1.30E-02,1.20E-02,1.60E-02,8.00E-03,7.00E-03,1.60E-02,1.00E-02,7.00E-03,9.00E-03,1.40E-02,1.30E-02,2.40E-02,1.60E-02,1.00E-02,1.40E-02,1.30E-02,1.20E-02,7.35E-02,8.80E-02,HOT
1.70E-02,1.40E-02,1.70E-02,1.30E-02,1.70E-02,1.50E-02,1.50E-02,1.10E-02,2.00E-02,1.50E-02,1.30E-02,1.30E-02,1.30E-02,1.90E-02,1.40E-02,1.00E-02,2.40E-02,1.90E-02,2.30E-02,1.40E-02,2.30E-02,9.00E-03,8.00E-03,9.00E-03,1.00E-02,8.00E-03,1.10E-02,8.00E-03,8.00E-03,8.00E-03,1.50E-02,1.10E-02,1.40E-02,1.50E-02,1.40E-02,1.70E-02,2.00E-02,9.00E-03,4.00E-03,8.00E-03,1.40E-02,1.10E-02,1.00E-02,1.40E-02,8.00E-03,1.30E-02,9.00E-03,1.70E-02,8.00E-03,1.00E-02,8.00E-03,1.10E-02,2.00E-02,1.60E-02,8.00E-03,1.40E-02,1.50E-02,8.00E-03,1.40E-02,1.30E-02,8.00E-03,1.80E-02,1.20E-02,2.20E-02,7.33E-02,8.55E-02,HOT
2.70E-02,2.00E-02,1.80E-02,1.60E-02,1.60E-02,1.30E-02,1.10E-02,1.30E-02,1.80E-02,1.10E-02,1.10E-02,2.70E-02,4.00E-03,1.10E-02,1.60E-02,1.10E-02,1.60E-02,1.80E-02,2.40E-02,4.00E-03,2.00E-02,7.00E-03,4.00E-03,9.00E-03,4.00E-03,2.00E-03,1.10E-02,7.00E-03,1.10E-02,2.00E-03,1.30E-02,1.80E-02,2.40E-02,4.00E-03,1.60E-02,1.10E-02,9.00E-03,9.00E-03,7.00E-03,7.00E-03,2.20E-02,1.30E-02,4.00E-03,1.10E-02,2.20E-02,1.10E-02,7.00E-03,1.60E-02,1.30E-02,1.10E-02,9.00E-03,9.00E-03,1.80E-02,1.10E-02,2.00E-03,1.60E-02,1.30E-02,4.00E-03,2.40E-02,1.10E-02,4.00E-03,2.20E-02,1.80E-02,3.60E-02,7.61E-02,9.33E-02,HOT
3.30E-02,1.40E-02,2.60E-02,1.40E-02,1.00E-02,1.00E-02,1.40E-02,5.00E-03,1.20E-02,2.00E-03,1.20E-02,1.40E-02,1.40E-02,2.00E-03,1.90E-02,1.70E-02,1.90E-02,5.00E-03,0.00E+00,1.20E-02,5.00E-03,1.00E-02,1.70E-02,7.00E-03,2.40E-02,1.70E-02,1.70E-02,2.00E-03,2.00E-03,5.00E-03,1.90E-02,5.00E-03,2.10E-02,1.40E-02,1.40E-02,1.40E-02,1.70E-02,1.70E-02,2.60E-02,1.40E-02,7.00E-03,2.40E-02,1.40E-02,1.20E-02,2.00E-03,5.00E-03,1.70E-02,1.70E-02,1.40E-02,5.00E-03,0.00E+00,1.00E-02,5.00E-03,2.00E-03,2.00E-03,5.00E-03,2.40E-02,3.10E-02,1.40E-02,1.20E-02,1.00E-02,2.00E-03,2.60E-02,2.90E-02,8.37E-02,1.05E-01,HOT
4.20E-02,1.50E-02,1.50E-02,2.00E-02,1.20E-02,7.00E-03,7.00E-03,1.50E-02,1.00E-02,3.00E-03,1.40E-02,1.20E-02,2.40E-02,1.20E-02,2.00E-02,1.50E-02,1.40E-02,3.00E-03,8.00E-03,1.20E-02,5.00E-03,5.00E-03,7.00E-03,8.00E-03,8.00E-03,2.00E-03,7.00E-03,1.20E-02,1.00E-02,8.00E-03,1.20E-02,2.40E-02,1.90E-02,1.20E-02,7.00E-03,1.20E-02,1.00E-02,1.00E-02,7.00E-03,1.40E-02,1.20E-02,1.00E-02,7.00E-03,1.00E-02,1.40E-02,7.00E-03,1.40E-02,1.70E-02,1.90E-02,1.00E-02,8.00E-03,2.50E-02,1.00E-02,3.00E-03,8.00E-03,1.70E-02,2.00E-02,2.50E-02,1.20E-02,1.70E-02,1.50E-02,1.20E-02,2.90E-02,2.90E-02,7.36E-02,9.54E-02,HOT
2.40E-02,8.00E-03,2.70E-02,1.90E-02,1.60E-02,1.10E-02,8.00E-03,5.00E-03,8.00E-03,1.30E-02,8.00E-03,2.10E-02,8.00E-03,1.10E-02,2.40E-02,1.30E-02,2.90E-02,8.00E-03,1.30E-02,1.10E-02,2.10E-02,5.00E-03,3.00E-03,5.00E-03,5.00E-03,5.00E-03,5.00E-03,8.00E-03,1.30E-02,8.00E-03,1.60E-02,1.90E-02,1.30E-02,1.10E-02,5.00E-03,1.30E-02,1.10E-02,1.10E-02,5.00E-03,2.70E-02,5.00E-03,8.00E-03,5.00E-03,1.30E-02,8.00E-03,1.30E-02,1.10E-02,2.40E-02,1.10E-02,1.30E-02,8.00E-03,1.10E-02,1.30E-02,8.00E-03,8.00E-03,1.90E-02,2.40E-02,2.70E-02,1.30E-02,1.30E-02,1.30E-02,1.60E-02,2.70E-02,2.70E-02,7.69E-02,9.36E-02,HOT
9.00E-03,1.00E-02,3.80E-02,7.00E-03,1.20E-02,1.50E-02,1.70E-02,9.00E-03,3.60E-02,2.40E-02,2.40E-02,7.00E-03,9.00E-03,2.20E-02,1.00E-02,9.00E-03,2.60E-02,1.20E-02,1.40E-02,1.70E-02,1.70E-02,7.00E-03,9.00E-03,1.40E-02,2.40E-02,9.00E-03,1.40E-02,9.00E-03,9.00E-03,1.20E-02,1.40E-02,1.00E-02,1.70E-02,2.40E-02,3.10E-02,1.70E-02,1.90E-02,1.20E-02,1.50E-02,1.50E-02,1.70E-02,1.50E-02,9.00E-03,1.40E-02,1.20E-02,5.00E-03,9.00E-03,9.00E-03,1.20E-02,7.00E-03,1.00E-02,7.00E-03,2.00E-02,1.20E-02,1.40E-02,7.00E-03,1.20E-02,1.40E-02,9.00E-03,5.00E-03,7.00E-03,1.40E-02,7.00E-03,9.00E-03,5.94E-02,6.84E-02,HOT
2.30E-02,1.50E-02,6.00E-03,2.30E-02,1.90E-02,4.00E-03,1.70E-02,1.50E-02,2.00E-03,6.00E-03,1.10E-02,1.50E-02,2.10E-02,2.30E-02,1.10E-02,1.90E-02,1.50E-02,1.30E-02,1.50E-02,1.50E-02,8.00E-03,1.50E-02,2.00E-03,1.70E-02,1.50E-02,6.00E-03,4.00E-03,1.50E-02,1.70E-02,1.50E-02,1.50E-02,1.50E-02,1.70E-02,6.00E-03,6.00E-03,8.00E-03,1.70E-02,4.00E-03,6.00E-03,8.00E-03,6.00E-03,8.00E-03,2.00E-03,4.00E-03,1.70E-02,6.00E-03,1.10E-02,1.10E-02,1.30E-02,2.10E-02,8.00E-03,2.50E-02,1.30E-02,1.90E-02,1.50E-02,2.10E-02,1.50E-02,1.50E-02,4.00E-03,1.10E-02,1.30E-02,2.30E-02,8.00E-03,3.80E-02,7.01E-02,9.41E-02,HOT
